Timestamp,CPU_Percentage,Memory_PSS_MB
14:21:55,0.0,141.26
14:21:57,0.0,141.97
14:21:58,44.8,151.41
14:22:00,40.0,152.76
14:22:02,0.0,152.72
14:22:03,0.0,152.74
14:22:05,41.3,153.29
14:22:06,0.0,153.73
14:22:08,20.0,154.14
14:22:10,0.0,154.38
14:22:11,144,219.04
14:22:14,184,252.62
14:22:16,225,251.94
14:22:18,235,245.5
14:22:20,232,246.01
14:22:21,264,244.5
14:22:23,277,243.98
14:22:25,164,272.25
14:22:27,190,256.79
14:22:29,257,255.65
14:22:31,240,267.99
14:22:33,334,279.85
14:22:35,268,285.15
14:22:37,169,279.71
14:22:39,271,277.27
14:22:41,224,259.81
14:22:42,334,292.63
14:22:45,338,321.48
14:22:47,284,288.98
14:22:49,272,288.97
14:22:51,271,267.45
14:22:53,271,290.16
14:22:55,225,265.56
14:22:57,296,293.71
14:22:59,240,263.64
14:23:01,217,278.28
14:23:03,272,289.86
14:23:06,238,263.2
14:23:08,251,264.47
14:23:09,183,268.79
14:23:11,232,261.7
14:23:13,211,259.98
14:23:15,268,286.23
14:23:17,258,264.83
14:23:19,282,287.48
14:23:21,279,270.66
14:23:23,309,266.41
14:23:25,213,288.57
14:23:27,236,280.38
14:23:29,228,283.09
14:23:31,221,276.23
14:23:33,250,279.18
14:23:35,247,279.28
14:23:37,221,270.09
14:23:39,224,265.54
14:23:42,191,277.19
14:23:43,229,264.66
14:23:45,205,273.51
14:23:47,225,274.98
14:23:49,309,285.03
14:23:51,290,279.62
14:23:53,206,278.32
14:23:55,233,271.35
14:23:57,306,259.2
14:23:59,278,272.35
14:24:01,269,284.75
14:24:03,261,264.75
14:24:04,225,273.63
14:24:06,250,292.65
14:24:08,259,289.05
14:24:10,253,280.69
14:24:12,258,284.06
14:24:14,225,262.81
14:24:16,225,266.59
14:24:18,190,257.01
14:24:19,196,288.86
14:24:21,96.7,269.92
14:24:23,230,290.43
14:24:25,232,262.56
14:24:27,96.7,263.63
14:24:28,145,270.86
14:24:30,236,262
14:24:32,175,261.36
14:24:34,208,281.53
14:24:36,212,291.53
14:24:38,3.3,278.1
14:24:40,3.4,254.19
14:24:41,0.0,239.7
14:24:43,320,287.87
14:24:45,350,301.1
14:24:47,274,309.19
14:24:49,287,306.36
14:24:50,316,299.78
14:24:52,267,304.43
14:24:54,290,317.68
14:24:56,252,315.89
14:24:58,235,303.04
14:25:00,300,314.14
14:25:01,245,308.83
14:25:03,272,300.68
14:25:05,270,308.38
14:25:07,281,304.98
14:25:09,274,313.64
14:25:11,281,318.16
14:25:12,268,299.1
14:25:14,277,308.03
14:25:16,338,310.77
14:25:18,261,319.36
14:25:20,283,314.68
14:25:22,287,318.23
14:25:24,230,309.95
14:25:25,0.0,0.0
14:25:27,0.0,0.0
14:25:29,0.0,0.0
